Timestamp,Asset,PriceHistory,TraderSentiment
2025-06-05T17:58:52.114511,EURUSD-OTC,"1.138035,1.138095,1.138405,1.138405,1.138175,1.138135,1.138275,1.138335,1.138155,1.138015,1.138045,1.138245,1.138405,1.138355,1.138465,1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139135",0.8180494551787661
2025-06-05T18:10:41.770299,EURUSD-OTC,"1.138405,1.138355,1.138465,1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138555",0.29903509385491833
2025-06-05T18:10:42.418313,EURUSD-OTC,"1.138405,1.138355,1.138465,1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138545",0.29903509385491833
2025-06-05T18:12:17.446812,EURUSD-OTC,"1.138465,1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138685",0.5630909214757813
2025-06-05T18:12:18.057479,EURUSD-OTC,"1.138465,1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138685",0.5630909214757813
2025-06-05T18:13:13.917552,EURUSD-OTC,"1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138855",0.48749011923719876
2025-06-05T18:13:14.534900,EURUSD-OTC,"1.138445,1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138865",0.48749011923719876
2025-06-05T18:14:15.212258,EURUSD-OTC,"1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138825",0.7395937500106594
2025-06-05T18:14:15.876047,EURUSD-OTC,"1.138415,1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138825",0.7395937500106594
2025-06-05T18:15:15.238082,EURUSD-OTC,"1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138715",0.3921825319554333
2025-06-05T18:15:15.900497,EURUSD-OTC,"1.138435,1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138715",0.3921825319554333
2025-06-05T18:16:14.947551,EURUSD-OTC,"1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138715",0.18955841225769265
2025-06-05T18:16:15.576122,EURUSD-OTC,"1.138535,1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138705",0.18955841225769265
2025-06-05T18:17:14.792907,EURUSD-OTC,"1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138865",0.8866178898587567
2025-06-05T18:17:15.484559,EURUSD-OTC,"1.138375,1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138835",0.8866178898587567
2025-06-05T18:18:15.148846,EURUSD-OTC,"1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138785,1.138805",0.4921872162737221
2025-06-05T18:18:15.813602,EURUSD-OTC,"1.138615,1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138785,1.138805",0.4921872162737221
2025-06-05T18:19:15.024414,EURUSD-OTC,"1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138785,1.138575,1.138565",0.7591723932938745
2025-06-05T18:19:15.688555,EURUSD-OTC,"1.138785,1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138785,1.138575,1.138585",0.7591723932938745
2025-06-05T18:20:14.919116,EURUSD-OTC,"1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138785,1.138575,1.138575,1.138515",0.182298576341953
2025-06-05T18:20:15.567261,EURUSD-OTC,"1.138665,1.138605,1.138675,1.138825,1.139015,1.139065,1.139155,1.139125,1.139135,1.139075,1.138935,1.138945,1.138815,1.138675,1.138725,1.138615,1.138605,1.138525,1.138635,1.138665,1.138725,1.138675,1.138915,1.138675,1.138665,1.138815,1.138785,1.138575,1.138575,1.138535",0.182298576341953
